"","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8368","PHYH",0.00777881518671197,5.32350747737464,0.0303305016632542,0.975843802162665,0.994688405952181,-6.41198175859193
"12555","CD19",-0.0208997660675956,-2.04775702185276,-0.0302107463066079,0.975939149958756,0.994688405952181,-5.39041342984049
"7900","ZCCHC6",0.0038907087487301,5.45449076918764,0.0300882081263286,0.976036713765496,0.994688405952181,-6.42528751645683
"14473","MUC16",0.0280008528539573,2.19071749153754,0.0299881400173945,0.97611638737041,0.994688405952181,-5.9677126153638
"13657","ABI3",-0.00713162305377724,2.80848616826061,-0.0299192674096862,0.976171223451475,0.994688405952181,-6.06244926688368
"10127","ABCC9",-0.00868156145480903,4.42831878387792,-0.0299070461926699,0.976180953945037,0.994688405952181,-6.3856266538163
"13691","TOB1-AS1",-0.00942614067458314,0.243126603744465,-0.0298927943521132,0.976192301219034,0.994688405952181,-5.54458552473067
"4887","MCTP1",-0.00730732995759054,3.20944188599109,-0.0298743540687748,0.976206983326211,0.994688405952181,-6.28413828901041
"1845","CGREF1",0.00944383369273538,3.40805738132276,0.0297270368481568,0.976324277218381,0.994688405952181,-6.14738809094443
"5406","FOXF2",0.0187810655790615,1.17797355455971,0.0296839227271336,0.976358604756378,0.994688405952181,-5.7274766372349
"14532","ECSIT",0.00407462316581331,5.22357794623213,0.0296648798699785,0.976373766726384,0.994688405952181,-6.40593309849697
"2074","MXD1",0.00713410801848013,5.03819839991001,0.029210537976588,0.976735517411016,0.994951728390484,-6.41034483342495
"9673","TMEM126B",-0.0039844000610314,5.41787251995809,-0.0291305653890578,0.976799192733395,0.994951728390484,-6.41852230588168
"5897","OGFRL1",0.0054182095334081,5.55825828460937,0.0291211215452941,0.976806712067254,0.994951728390484,-6.42772013292956
"6374","NUPL2",0.00373801745933022,4.53323299222971,0.0289316488867043,0.976957573555228,0.995046149216101,-6.35338573546984
"15507","CST7",-0.0107956704283799,1.39849289287146,-0.0288355422231377,0.977034095702215,0.99505028679837,-5.79732677777684
"12813","CLEC18A",0.0187540140154541,-2.22047275312655,0.0287804496663434,0.97707796165103,0.99505028679837,-5.2798306126124
"3577","RAB43",-0.00523827429853974,4.49871353083816,-0.0286377948154654,0.977191547018246,0.995057461162018,-6.34614390416205
"1973","MCFD2",0.00455816465022352,7.02400957887103,0.0286255043696243,0.977201333001114,0.995057461162018,-6.43265504074076
"2645","MSTN",0.0198775206889369,-2.11283292599914,0.028477848637752,0.977318900728588,0.995098201155041,-5.2833965708871
"9390","NXF1",0.00359985571834365,6.94176054181496,0.0284291535627999,0.977357673252756,0.995098201155041,-6.43441433172056
"2990","IL17RC",0.00614458813242269,5.70399000866802,0.0283474798096121,0.977422704541396,0.995105190983945,-6.40630427306476
"8312","ZMYND11",-0.00387629004026113,6.75372790038717,-0.0281947789393709,0.977544290328274,0.995148464420408,-6.43483392403118
"7476","KLF10",0.00625489204424667,5.8318534923422,0.0281453759220331,0.977583626855804,0.995148464420408,-6.43689089027667
